date	index_val	source	cpi	daily	food	housing	energy
2008-07-01	100	BPP	0	1	0	0	0
2008-07-02	99.886787	BPP	0	1	0	0	0
2008-07-03	99.866524	BPP	0	1	0	0	0
2008-07-04	99.845139	BPP	0	1	0	0	0
2008-07-05	99.892776	BPP	0	1	0	0	0
2008-07-06	99.910408	BPP	0	1	0	0	0
2008-07-07	99.943283	BPP	0	1	0	0	0
2008-07-08	99.957413	BPP	0	1	0	0	0
2008-07-09	99.993317	BPP	0	1	0	0	0
2008-07-10	99.995537	BPP	0	1	0	0	0
2008-07-11	99.958328	BPP	0	1	0	0	0
2008-07-12	99.95919	BPP	0	1	0	0	0
2008-07-13	99.886002	BPP	0	1	0	0	0
2008-07-14	99.905884	BPP	0	1	0	0	0
2008-07-15	99.918663	BPP	0	1	0	0	0
2008-07-16	99.957687	BPP	0	1	0	0	0
2008-07-17	99.98468	BPP	0	1	0	0	0
2008-07-18	99.994057	BPP	0	1	0	0	0
2008-07-19	99.962029	BPP	0	1	0	0	0
2008-07-20	100.0138	BPP	0	1	0	0	0
2008-07-21	100.0753	BPP	0	1	0	0	0
2008-07-22	100.0794	BPP	0	1	0	0	0
2008-07-23	100.1008	BPP	0	1	0	0	0
2008-07-24	100.1035	BPP	0	1	0	0	0
2008-07-25	100.1422	BPP	0	1	0	0	0
2008-07-26	100.1052	BPP	0	1	0	0	0
2008-07-27	100.0965	BPP	0	1	0	0	0
2008-07-28	100.1249	BPP	0	1	0	0	0
2008-07-29	100.119	BPP	0	1	0	0	0
2008-07-30	100.1143	BPP	0	1	0	0	0
2008-07-31	100.1322	BPP	0	1	0	0	0
2008-08-01	100.2066	BPP	0	1	0	0	0
2008-08-02	100.1909	BPP	0	1	0	0	0
2008-08-03	100.206	BPP	0	1	0	0	0
2008-08-04	100.245	BPP	0	1	0	0	0
2008-08-05	100.2245	BPP	0	1	0	0	0
2008-08-06	100.2182	BPP	0	1	0	0	0
2008-08-07	100.2301	BPP	0	1	0	0	0
2008-08-08	100.2046	BPP	0	1	0	0	0
2008-08-09	100.1196	BPP	0	1	0	0	0
2008-08-10	100.1255	BPP	0	1	0	0	0
2008-08-11	100.1463	BPP	0	1	0	0	0
2008-08-12	100.0884	BPP	0	1	0	0	0
2008-08-13	100.1263	BPP	0	1	0	0	0
2008-08-14	100.0952	BPP	0	1	0	0	0
2008-08-15	100.0822	BPP	0	1	0	0	0
2008-08-16	100.1008	BPP	0	1	0	0	0
2008-08-17	100.1417	BPP	0	1	0	0	0
2008-08-18	100.16	BPP	0	1	0	0	0
2008-08-19	100.2055	BPP	0	1	0	0	0
2008-08-20	100.1561	BPP	0	1	0	0	0
2008-08-21	100.1823	BPP	0	1	0	0	0
2008-08-22	100.2114	BPP	0	1	0	0	0
2008-08-23	100.182	BPP	0	1	0	0	0
2008-08-24	100.2056	BPP	0	1	0	0	0
2008-08-25	100.2359	BPP	0	1	0	0	0
2008-08-26	100.2526	BPP	0	1	0	0	0
2008-08-27	100.2503	BPP	0	1	0	0	0
2008-08-28	100.2711	BPP	0	1	0	0	0
2008-08-29	100.2656	BPP	0	1	0	0	0
2008-08-30	100.2635	BPP	0	1	0	0	0
2008-08-31	100.2917	BPP	0	1	0	0	0
2008-09-01	100.3417	BPP	0	1	0	0	0
2008-09-02	100.4398	BPP	0	1	0	0	0
2008-09-03	100.4585	BPP	0	1	0	0	0
2008-09-04	100.4519	BPP	0	1	0	0	0
2008-09-05	100.4486	BPP	0	1	0	0	0
2008-09-06	100.4711	BPP	0	1	0	0	0
2008-09-07	100.4532	BPP	0	1	0	0	0
2008-09-08	100.4748	BPP	0	1	0	0	0
2008-09-09	100.4828	BPP	0	1	0	0	0
